org RRTMG LUT interpolated from GADS (DAR 09/2013)
V0.1 - contains Fast-J wavelengths but is the same as the original jv_spec.dat values
  w(nm)   RH       N         iK  RgDry  RgWet      Sg       Q  Alpha  r-eff ss-alb  g-sym  pi(0)  pi(1)  pi(2)  pi(3)  pi(4)  pi(5)  pi(6)  pi(7)
13157.9   50  1.3140 -5.795e-03  0.000  0.080    1.60  0.0009  0.003  0.139  0.011  0.006  1.000  0.018  0.500  0.004  0.000  0.000  0.000  0.000
11111.1   50  1.3386 -1.133e-02  0.000  0.080    1.60  0.0020  0.006  0.139  0.008  0.008  1.000  0.024  0.500  0.005  0.000  0.000  0.000  0.000
 9708.7   50  1.4595 -3.023e-02  0.000  0.080    1.60  0.0057  0.017  0.139  0.008  0.011  1.000  0.034  0.501  0.007  0.000  0.000  0.000  0.000
 8849.6   50  1.7605 -1.098e-01  0.000  0.080    1.60  0.0181  0.054  0.139  0.009  0.016  1.000  0.048  0.501  0.008  0.000  0.000  0.000  0.000
 7782.1   50  1.2831 -2.025e-02  0.000  0.080    1.60  0.0055  0.016  0.139  0.009  0.017  1.000  0.049  0.501  0.010  0.000  0.000  0.000  0.000
 6968.6   50  1.3510 -1.951e-02  0.000  0.080    1.60  0.0055  0.017  0.139  0.019  0.020  1.000  0.062  0.502  0.013  0.000  0.000  0.000  0.000
 6097.6   50  1.3503 -3.691e-03  0.000  0.080    1.60  0.0014  0.004  0.139  0.141  0.026  1.000  0.080  0.503  0.016  0.000  0.000  0.000  0.000
 5154.6   50  1.3677 -4.333e-03  0.000  0.080    1.60  0.0020  0.007  0.139  0.212  0.038  1.000  0.112  0.505  0.023  0.001  0.000  0.000  0.000
 4618.9   50  1.3734 -3.829e-03  0.000  0.080    1.60  0.0023  0.007  0.139  0.284  0.046  1.000  0.138  0.508  0.028  0.002  0.000  0.000  0.000
 4319.7   50  1.3796 -3.108e-03  0.000  0.080    1.60  0.0023  0.007  0.139  0.379  0.052  1.000  0.157  0.510  0.032  0.002  0.000  0.000  0.000
 4016.1   50  1.3862 -1.543e-03  0.000  0.080    1.60  0.0020  0.006  0.139  0.609  0.060  1.000  0.180  0.514  0.037  0.002  0.000  0.000  0.000
 3418.8   50  1.4212 -2.064e-03  0.000  0.080    1.60  0.0038  0.011  0.139  0.964  0.082  1.000  0.246  0.525  0.049  0.005  0.000  0.000  0.000
 3444.7   50  1.4192 -1.852e-03  0.000  0.080    1.60  0.0036  0.011  0.139  0.999  0.080  1.000  0.242  0.524  0.049  0.004  0.000  0.000  0.000
 2777.0   50  1.3261  2.367e-03  0.000  0.080    1.60  0.0023  0.007  0.139  1.000  0.111  1.000  0.332  0.546  0.074  0.009  0.001  0.000  0.000
 2320.2   50  1.3222 -4.186e-03  0.000  0.080    1.60  0.0102  0.031  0.139  0.000  0.148  1.000  0.443  0.580  0.104  0.017  0.003  0.000  0.000
 2044.2   50  1.3413 -2.559e-03  0.000  0.080    1.60  0.0146  0.043  0.139  0.120  0.182  1.000  0.544  0.617  0.133  0.026  0.005  0.001  0.000
 1778.4   50  1.3642 -5.586e-03  0.000  0.080    1.60  0.0289  0.086  0.139  0.871  0.225  1.000  0.674  0.673  0.174  0.042  0.010  0.003  0.001
 1455.2   50  1.3863 -7.653e-03  0.000  0.080    1.60  0.0600  0.180  0.139  0.827  0.295  1.000  0.885  0.787  0.258  0.078  0.023  0.007  0.002
 1270.3   50  1.3870 -6.624e-03  0.000  0.080    1.60  0.0867  0.259  0.139  0.862  0.346  1.000  1.038  0.889  0.337  0.118  0.039  0.014  0.005
  944.3   50  1.3942 -4.879e-03  0.000  0.080    1.60  0.1988  0.596  0.139  0.932  0.462  1.000  1.387  1.191  0.591  0.271  0.113  0.049  0.020
  693.5   50  1.3989 -2.383e-03  0.000  0.080    1.60  0.4366  1.307  0.139  0.976  0.573  1.000  1.720  1.599  0.992  0.564  0.288  0.149  0.073
  527.1   50  1.4009 -1.916e-03  0.000  0.080    1.60  0.8081  2.420  0.139  0.985  0.651  1.000  1.956  1.996  1.457  0.963  0.573  0.337  0.188
  399.8   50  1.4044 -1.722e-03  0.000  0.080    1.60  1.3627  4.080  0.139  0.989  0.708  1.000  2.125  2.376  1.969  1.471  0.996  0.654  0.412
  329.1   50  1.4083 -1.491e-03  0.000  0.080    1.60  1.8337  5.491  0.139  0.990  0.735  1.000  2.204  2.599  2.305  1.845  1.347  0.943  0.639
  229.8   50  1.4209 -1.143e-02  0.000  0.080    1.60  2.5659  7.684  0.139  0.932  0.763  1.000  2.289  2.869  2.761  2.418  1.957  1.511  1.141
 7082.2   50  1.3472 -2.136e-02  0.000  0.080    1.60  0.0059  0.018  0.139  0.016  0.020  1.000  0.060  0.502  0.012  0.000  0.000  0.000  0.000
  300.0   70  1.3895 -1.800e-03  0.000  0.083    1.60  2.0373  5.873  0.145  0.989  0.758  1.000  2.273  2.788  2.600  2.191  1.692  1.249  0.895
  400.0   70  1.3822 -1.130e-03  0.000  0.083    1.60  1.3290  3.831  0.145  0.992  0.723  1.000  2.168  2.471  2.100  1.605  1.115  0.748  0.483
  440.0   70  1.3805 -1.129e-03  0.000  0.083    1.60  1.1216  3.234  0.145  0.992  0.705  1.000  2.117  2.344  1.917  1.410  0.940  0.609  0.378
  500.0   70  1.3788 -1.130e-03  0.000  0.083    1.60  0.8762  2.526  0.145  0.991  0.679  1.000  2.037  2.162  1.668  1.160  0.729  0.449  0.264
  550.0   70  1.3773 -1.350e-03  0.000  0.083    1.60  0.7180  2.070  0.145  0.989  0.656  1.000  1.968  2.022  1.486  0.987  0.592  0.350  0.197
  600.0   70  1.3763 -1.350e-03  0.000  0.083    1.60  0.5927  1.709  0.145  0.988  0.633  1.000  1.898  1.891  1.325  0.842  0.482  0.274  0.149
  675.0   70  1.3759 -1.578e-03  0.000  0.083    1.60  0.4528  1.306  0.145  0.984  0.597  1.000  1.790  1.713  1.118  0.665  0.357  0.191  0.098
  800.0   70  1.3722 -2.250e-03  0.000  0.083    1.60  0.2951  0.851  0.145  0.972  0.539  1.000  1.617  1.466  0.856  0.458  0.221  0.108  0.051
  870.0   70  1.3711 -2.726e-03  0.000  0.083    1.60  0.2374  0.685  0.145  0.962  0.508  1.000  1.524  1.351  0.742  0.374  0.171  0.080  0.036
 1000.0   70  1.3702 -3.490e-03  0.000  0.083    1.60  0.1645  0.474  0.145  0.943  0.454  1.000  1.362  1.174  0.577  0.262  0.108  0.047  0.019
 1020.0   70  1.3698 -3.575e-03  0.000  0.083    1.60  0.1557  0.449  0.145  0.940  0.446  1.000  1.338  1.151  0.556  0.248  0.101  0.043  0.017
55555.6   70  1.6191 -4.620e-02  0.000  0.083    1.60  0.0022  0.006  0.145  0.000  0.001  1.000  0.003  0.500  0.001  0.000  0.000  0.000  0.000
23529.4   70  1.6150 -1.034e-02  0.000  0.083    1.60  0.0007  0.002  0.145  0.000  0.002  1.000  0.007  0.500  0.001  0.000  0.000  0.000  0.000
17699.1   70  1.5558  8.313e-03  0.000  0.083    1.60  0.0000  0.000  0.145  0.000  0.004  1.000  0.011  0.500  0.002  0.000  0.000  0.000  0.000
15037.6   70  1.3052  3.891e-03  0.000  0.083    1.60  0.0000  0.000  0.145  0.000  0.005  1.000  0.014  0.500  0.003  0.000  0.000  0.000  0.000
13157.9   70  1.2594  2.769e-02  0.000  0.083    1.60  0.0000  0.000  0.145  0.000  0.006  1.000  0.019  0.500  0.004  0.000  0.000  0.000  0.000
11111.1   70  1.2725  2.907e-03  0.000  0.083    1.60  0.0000  0.000  0.145  0.000  0.009  1.000  0.025  0.500  0.006  0.000  0.000  0.000  0.000
 9708.7   70  1.3817 -1.527e-02  0.000  0.083    1.60  0.0031  0.009  0.145  0.012  0.012  1.000  0.036  0.501  0.007  0.000  0.000  0.000  0.000
 8849.6   70  1.5906 -6.834e-02  0.000  0.083    1.60  0.0134  0.038  0.145  0.009  0.016  1.000  0.047  0.501  0.009  0.000  0.000  0.000  0.000
 7782.1   70  1.2883 -9.880e-03  0.000  0.083    1.60  0.0028  0.008  0.145  0.008  0.018  1.000  0.052  0.501  0.011  0.000  0.000  0.000  0.000
 6968.6   70  1.3356 -1.031e-02  0.000  0.083    1.60  0.0031  0.009  0.145  0.185  0.023  1.000  0.066  0.502  0.014  0.000  0.000  0.000  0.000
 6097.6   70  1.3384  7.737e-03  0.000  0.083    1.60  0.0000  0.000  0.145  0.000  0.028  1.000  0.086  0.503  0.018  0.001  0.000  0.000  0.000
 5154.6   70  1.3529 -2.438e-03  0.000  0.083    1.60  0.0013  0.004  0.145  0.458  0.040  1.000  0.119  0.506  0.025  0.001  0.000  0.000  0.000
 4618.9   70  1.3582 -9.737e-04  0.000  0.083    1.60  0.0011  0.003  0.145  0.577  0.049  1.000  0.146  0.509  0.030  0.002  0.000  0.000  0.000
 4319.7   70  1.3653 -1.063e-03  0.000  0.083    1.60  0.0014  0.004  0.145  0.652  0.055  1.000  0.167  0.512  0.035  0.002  0.000  0.000  0.000
 4016.1   70  1.3740 -5.345e-04  0.000  0.083    1.60  0.0016  0.005  0.145  0.821  0.063  1.000  0.192  0.516  0.040  0.003  0.000  0.000  0.000
 3418.8   70  1.4189  1.027e-04  0.000  0.083    1.60  0.0029  0.009  0.145  1.000  0.087  1.000  0.262  0.528  0.053  0.005  0.001  0.000  0.000
 3444.7   70  1.4158  2.757e-05  0.000  0.083    1.60  0.0029  0.009  0.145  1.000  0.086  1.000  0.258  0.527  0.052  0.005  0.001  0.000  0.000
 2777.0   70  1.3096  2.395e-02  0.000  0.083    1.60  0.0000  0.000  0.145  1.000  0.117  1.000  0.351  0.552  0.080  0.011  0.002  0.000  0.000
 2320.2   70  1.3058 -7.011e-03  0.000  0.083    1.60  0.0124  0.036  0.145  0.504  0.155  1.000  0.466  0.588  0.112  0.019  0.004  0.000  0.000
 2044.2   70  1.3283 -2.119e-03  0.000  0.083    1.60  0.0147  0.043  0.145  0.844  0.190  1.000  0.572  0.630  0.144  0.030  0.006  0.002  0.000
 1778.4   70  1.3467 -3.563e-03  0.000  0.083    1.60  0.0274  0.079  0.145  0.834  0.235  1.000  0.704  0.690  0.188  0.047  0.012  0.004  0.001
 1455.2   70  1.3638 -4.997e-03  0.000  0.083    1.60  0.0565  0.163  0.145  0.855  0.306  1.000  0.920  0.812  0.280  0.089  0.027  0.009  0.003
 1270.3   70  1.3649 -4.331e-03  0.000  0.083    1.60  0.0830  0.240  0.145  0.897  0.359  1.000  1.075  0.922  0.366  0.134  0.046  0.017  0.006
  944.3   70  1.3710 -3.204e-03  0.000  0.083    1.60  0.1922  0.554  0.145  0.951  0.476  1.000  1.429  1.244  0.641  0.304  0.131  0.058  0.025
  693.5   70  1.3759 -1.569e-03  0.000  0.083    1.60  0.4248  1.225  0.145  0.983  0.588  1.000  1.764  1.672  1.073  0.628  0.331  0.175  0.089
  527.1   70  1.3780 -1.257e-03  0.000  0.083    1.60  0.7858  2.265  0.145  0.990  0.667  1.000  2.000  2.085  1.566  1.062  0.651  0.392  0.225
